20,Maybe,Yes,CoronaVac (Sinovac),No,Neutral
20,Yes,Yes,Pfizer-BioNTech,Yes,Agree
20,Maybe,Maybe,Pfizer-BioNTech,Yes,Neutral
21,Maybe,Maybe,Moderna,Yes,Neutral
20,Maybe,Vaccinated,Pfizer-BioNTech,Yes,Neutral
20,Yes,Yes,Pfizer-BioNTech,Yes,Neutral
20,Yes,Yes,Pfizer-BioNTech,Yes,Strongly agree
22,Yes,Maybe,Pfizer-BioNTech,Yes,Neutral
20,Yes,Yes,Pfizer-BioNTech,Yes,Strongly agree
20,Yes,Yes,Pfizer-BioNTech,No,Strongly agree
20,Yes,Yes,Pfizer-BioNTech,Yes,Agree
23,Yes,Vaccinated,CoronaVac (Sinovac),Yes,Strongly agree
23,Yes,Yes,Pfizer-BioNTech,Yes,Strongly agree
21,Yes,Yes,Oxford-AstraZeneca,Yes,Strongly agree
20,Yes,Vaccinated,Pfizer-BioNTech,Yes,Agree
20,Yes,Yes,Moderna,Yes,Neutral
20,Yes,Vaccinated,Pfizer-BioNTech,Yes,Neutral
20,Yes,Yes,Oxford-AstraZeneca,Yes,Strongly agree
20,Yes,Vaccinated,Pfizer-BioNTech,Yes,Agree
20,Maybe,Vaccinated,Pfizer-BioNTech,Yes,Agree
21,Yes,Yes,Pfizer-BioNTech,Yes,Agree
20,Yes,Vaccinated,Moderna,Yes,Strongly agree
20,Yes,Vaccinated,Pfizer-BioNTech,Yes,Neutral
20,Yes,Vaccinated,CoronaVac (Sinovac),Yes,Strongly agree
20,Yes,Vaccinated,CoronaVac (Sinovac),Yes,Neutral
21,Maybe,Vaccinated,CoronaVac (Sinovac),Yes,Neutral
21,No,Yes,Moderna,No,Strongly agree
20,Yes,Vaccinated,Johnson and Johnson's Janssen,Yes,Neutral
20,Yes,Vaccinated,Pfizer-BioNTech,Yes,Agree
21,Yes,Yes,Pfizer-BioNTech,Yes,Agree
22,Maybe,Vaccinated,Pfizer-BioNTech,Yes,Disagree
21,Yes,Yes,CoronaVac (Sinovac),No,Disagree
20,Maybe,Yes,Pfizer-BioNTech,Yes,Agree
19,Yes,Vaccinated,CoronaVac (Sinovac),Yes,Neutral
20,Maybe,Maybe,Pfizer-BioNTech,Yes,Neutral
20,Maybe,Maybe,Johnson and Johnson's Janssen,Yes,Neutral
21,Yes,Vaccinated,Pfizer-BioNTech,Yes,Agree
20,Maybe,Vaccinated,Pfizer-BioNTech,Yes,Agree
20,Maybe,Maybe,Johnson and Johnson's Janssen,Yes,Neutral
18,Yes,Yes,Johnson and Johnson's Janssen,Yes,Agree
16,Yes,Maybe,Oxford-AstraZeneca,Yes,Agree
16,Maybe,No,CoronaVac (Sinovac),Yes,Neutral
16,Maybe,Maybe,Moderna,Yes,Neutral
16,No,No,Johnson and Johnson's Janssen,No,Neutral
17,Maybe,Yes,Pfizer-BioNTech,Yes,Neutral
17,Yes,Yes,Johnson and Johnson's Janssen,No,Agree
16,Yes,Yes,Oxford-AstraZeneca,Yes,Neutral
16,Maybe,Maybe,Pfizer-BioNTech,No,Neutral
16,Maybe,Yes,Johnson and Johnson's Janssen,Yes,Agree
16,Yes,Yes,Pfizer-BioNTech,Yes,Neutral
16,Yes,Yes,Pfizer-BioNTech,Yes,Neutral
16,Maybe,No,CoronaVac (Sinovac),No,Disagree
20,Yes,Vaccinated,Moderna,Yes,Strongly agree
38,Yes,Vaccinated,Johnson and Johnson's Janssen,Yes,Strongly agree
17,Maybe,Maybe,Moderna,Yes,Agree
16,Yes,Yes,CoronaVac (Sinovac),Yes,Agree
16,Maybe,Yes,Oxford-AstraZeneca,Yes,Agree
16,Yes,Yes,Johnson and Johnson's Janssen,Yes,Agree
15,Maybe,Yes,CoronaVac (Sinovac),Yes,Agree
16,Yes,Yes,Oxford-AstraZeneca,Yes,Neutral
19,Yes,Vaccinated,Oxford-AstraZeneca,Yes,Neutral
16,Yes,Yes,Pfizer-BioNTech,Yes,Neutral
16,Yes,Yes,Pfizer-BioNTech,Yes,Agree
15,Yes,Yes,Moderna,Yes,Agree
17,Yes,Yes,Pfizer-BioNTech,Yes,Agree
17,Yes,Yes,NONE/WALA,No,Agree
19,Yes,Yes,Johnson and Johnson's Janssen,Yes,Neutral
18,Yes,Yes,Pfizer-BioNTech,Yes,Agree
16,Maybe,Yes,Pfizer-BioNTech,Yes,Strongly agree
33,Maybe,Yes,Pfizer-BioNTech,Yes,Agree
16,Yes,Yes,Pfizer-BioNTech,Yes,Agree
18,Maybe,Yes,Synopharm,Yes,Agree
17,Maybe,Yes,anything that good for me,Yes,Neutral
23,Maybe,Yes,Oxford-AstraZeneca,Yes,Agree
20,Yes,Yes,Pfizer-BioNTech,No,Agree
21,Yes,Vaccinated,Pfizer-BioNTech,Yes,Strongly disagree
22,Yes,Yes,Oxford-AstraZeneca,Yes,Agree
20,Maybe,Yes,Pfizer-BioNTech,Yes,Agree
21,Yes,Vaccinated,CoronaVac (Sinovac),Yes,Agree
20,Yes,Yes,Johnson and Johnson's Janssen,Yes,Strongly agree
21,Yes,Vaccinated,Pfizer-BioNTech,Yes,Strongly agree
20,Yes,Yes,Johnson and Johnson's Janssen,Yes,Agree
23,Yes,Vaccinated,Pfizer-BioNTech,Yes,Agree
24,Yes,Vaccinated,Oxford-AstraZeneca,Yes,Agree
22,Yes,Yes,Pfizer-BioNTech,No,Agree
51,Yes,Vaccinated,Oxford-AstraZeneca,Yes,Strongly agree
19,Yes,Yes,Pfizer-BioNTech,Yes,Neutral
53,Yes,Vaccinated,CoronaVac (Sinovac),Yes,Strongly agree
20,Yes,Vaccinated,Moderna,Yes,Strongly agree
48,Yes,Vaccinated,Pfizer-BioNTech,Yes,Agree
38,Yes,Vaccinated,CoronaVac (Sinovac),Yes,Strongly agree
48,Yes,Vaccinated,Pfizer-BioNTech,Yes,Agree
23,Yes,Vaccinated,CoronaVac (Sinovac),Yes,Strongly agree
27,Yes,Vaccinated,Pfizer-BioNTech,Yes,Strongly agree
30,Yes,Vaccinated,Pfizer-BioNTech,Yes,Strongly agree
21,Yes,Vaccinated,Moderna,Yes,Strongly agree
26,Yes,Vaccinated,CoronaVac (Sinovac),Yes,Strongly agree
32,Yes,Vaccinated,Pfizer-BioNTech,Yes,Strongly agree
29,Yes,Vaccinated,Pfizer-BioNTech,Yes,Strongly agree
22,Yes,Vaccinated,Moderna,Yes,Strongly agree
